1999.01.04,1.1801,1.1862,1.1769,1.1815,4128,0
1999.01.05,1.1815,1.1835,1.175,1.1758,5357,0
1999.01.06,1.1761,1.1773,1.1553,1.1623,5288,0
1999.01.07,1.1623,1.1735,1.1612,1.1712,5515,0
1999.01.08,1.1713,1.172,1.1533,1.1585,5660,0
1999.01.11,1.1575,1.161,1.1487,1.1503,5386,0
1999.01.12,1.1504,1.158,1.1447,1.1555,5703,0
1999.01.13,1.1561,1.179,1.1553,1.1681,7089,0
1999.01.14,1.1673,1.1728,1.1614,1.1681,5917,0
1999.01.15,1.1683,1.1749,1.1552,1.1563,6867,0
1999.01.18,1.1565,1.162,1.1564,1.1605,4540,0
1999.01.19,1.1605,1.1642,1.1563,1.1603,6220,0
1999.01.20,1.1598,1.1611,1.1539,1.1566,6201,0
1999.01.21,1.1567,1.1619,1.1545,1.1601,5743,0
1999.01.22,1.1605,1.1626,1.1559,1.1587,5014,0
1999.01.25,1.1579,1.1608,1.1547,1.1552,4290,0
1999.01.26,1.1555,1.1591,1.155,1.1562,5999,0
1999.01.27,1.1562,1.1565,1.1408,1.144,6397,0
1999.01.28,1.1445,1.147,1.1378,1.1407,5613,0
1999.01.29,1.1407,1.1433,1.1342,1.1367,6243,0
1999.02.01,1.1382,1.1397,1.129,1.1323,6063,0
1999.02.02,1.1323,1.1365,1.1284,1.1352,6101,0
1999.02.03,1.1353,1.1363,1.13,1.1306,4795,0
1999.02.04,1.1309,1.1346,1.1247,1.1344,5836,0
1999.02.05,1.1343,1.1373,1.1253,1.126,5388,0
1999.02.08,1.1262,1.133,1.122,1.1315,4637,0
1999.02.09,1.1312,1.1345,1.1281,1.1315,4905,0
1999.02.10,1.1314,1.136,1.127,1.1326,5228,0
1999.02.11,1.1323,1.1336,1.1214,1.1218,4767,0
1999.02.12,1.1219,1.1308,1.1216,1.1306,4558,0
1999.02.15,1.1299,1.1304,1.1221,1.1224,3881,0
1999.02.16,1.1227,1.1238,1.1158,1.1211,4865,0
1999.02.17,1.1212,1.1267,1.12,1.1247,4128,0
1999.02.18,1.1246,1.128,1.1185,1.1198,4535,0
1999.02.19,1.1197,1.1211,1.1055,1.1058,5234,0
1999.02.22,1.1052,1.1064,1.0962,1.1023,4852,0
1999.02.23,1.1024,1.107,1.0941,1.1009,4760,0
1999.02.24,1.1009,1.1047,1.0926,1.1005,5038,0
1999.02.25,1.1004,1.1079,1.0983,1.1033,5172,0
